n_digit,sample_prop,trial,estimate
2,0.16666666666666666,40,286
2,0.16666666666666666,41,248
2,0.16666666666666666,42,425
2,0.16666666666666666,43,405
2,0.16666666666666666,44,308
2,0.16666666666666666,45,606
2,0.16666666666666666,46,300
2,0.16666666666666666,47,606
2,0.16666666666666666,48,425
2,0.16666666666666666,49,308
2,0.16666666666666666,50,308
2,0.16666666666666666,51,286
2,0.16666666666666666,52,248
2,0.16666666666666666,53,606
2,0.16666666666666666,54,286
2,0.16666666666666666,55,220
2,0.16666666666666666,56,560
2,0.16666666666666666,57,560
2,0.16666666666666666,58,293
2,0.16666666666666666,59,405
2,0.16666666666666666,60,570
2,0.16666666666666666,61,300
2,0.16666666666666666,62,405
2,0.16666666666666666,63,606
2,0.16666666666666666,64,308
2,0.16666666666666666,65,606
2,0.16666666666666666,66,313
2,0.16666666666666666,67,308
2,0.16666666666666666,68,560
2,0.16666666666666666,69,306
2,0.16666666666666666,70,405
2,0.16666666666666666,71,560
2,0.16666666666666666,72,570
2,0.16666666666666666,73,250
2,0.16666666666666666,74,560
2,0.16666666666666666,75,286
2,0.16666666666666666,76,560
2,0.16666666666666666,77,271
2,0.16666666666666666,78,300
2,0.16666666666666666,79,606
2,0.16666666666666666,80,560
2,0.16666666666666666,81,187
2,0.16666666666666666,82,606
2,0.16666666666666666,83,570
2,0.16666666666666666,84,308
2,0.16666666666666666,85,560
2,0.16666666666666666,86,306
2,0.16666666666666666,87,425
2,0.16666666666666666,88,293
2,0.16666666666666666,89,570
2,0.16666666666666666,90,308
2,0.16666666666666666,91,560
2,0.16666666666666666,92,570
2,0.16666666666666666,93,313
2,0.16666666666666666,94,606
2,0.16666666666666666,95,606
2,0.16666666666666666,96,606
2,0.16666666666666666,97,606
2,0.16666666666666666,98,425
2,0.16666666666666666,99,300
2,0.16666666666666666,100,250
2,0.14285714285714285,1,293
2,0.14285714285714285,2,606
2,0.14285714285714285,3,570
2,0.14285714285714285,4,425
2,0.14285714285714285,5,271
2,0.14285714285714285,6,300
2,0.14285714285714285,7,271
2,0.14285714285714285,8,308
2,0.14285714285714285,9,293
2,0.14285714285714285,10,425
2,0.14285714285714285,11,313
2,0.14285714285714285,12,560
2,0.14285714285714285,13,570
2,0.14285714285714285,14,308
2,0.14285714285714285,15,313
2,0.14285714285714285,16,560
2,0.14285714285714285,17,606
2,0.14285714285714285,18,293
2,0.14285714285714285,19,211
2,0.14285714285714285,20,313
2,0.14285714285714285,21,405
2,0.14285714285714285,22,118
2,0.14285714285714285,23,308
2,0.14285714285714285,24,308
2,0.14285714285714285,25,308
2,0.14285714285714285,26,286
2,0.14285714285714285,27,425
2,0.14285714285714285,28,250
2,0.14285714285714285,29,313
2,0.14285714285714285,30,306
2,0.14285714285714285,31,168
2,0.14285714285714285,32,570
2,0.14285714285714285,33,560
2,0.14285714285714285,34,173
2,0.14285714285714285,35,570
2,0.14285714285714285,36,570
2,0.14285714285714285,37,560
2,0.14285714285714285,38,570
2,0.14285714285714285,39,425
2,0.14285714285714285,40,560
2,0.14285714285714285,41,405
2,0.14285714285714285,42,405
2,0.14285714285714285,43,300
2,0.14285714285714285,44,220
2,0.14285714285714285,45,606
2,0.14285714285714285,46,286
2,0.14285714285714285,47,560
2,0.14285714285714285,48,425
2,0.14285714285714285,49,286
2,0.14285714285714285,50,560
2,0.14285714285714285,51,313
2,0.14285714285714285,52,300
2,0.14285714285714285,53,606
2,0.14285714285714285,54,425
2,0.14285714285714285,55,149
2,0.14285714285714285,56,606
2,0.14285714285714285,57,405
2,0.14285714285714285,58,570
2,0.14285714285714285,59,293
2,0.14285714285714285,60,606
2,0.14285714285714285,61,313
2,0.14285714285714285,62,99
2,0.14285714285714285,63,570
2,0.14285714285714285,64,570
2,0.14285714285714285,65,570
2,0.14285714285714285,66,560
2,0.14285714285714285,67,293
2,0.14285714285714285,68,606
2,0.14285714285714285,69,293
2,0.14285714285714285,70,250
2,0.14285714285714285,71,271
2,0.14285714285714285,72,308
2,0.14285714285714285,73,560
2,0.14285714285714285,74,606
2,0.14285714285714285,75,111
2,0.14285714285714285,76,425
2,0.14285714285714285,77,570
2,0.14285714285714285,78,306
2,0.14285714285714285,79,187
